"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Text Editing","Previous Word","⌥←","Editing Text"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Run/Debug","Run Gradle Test","⌥⌘X G","In Windows"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks View"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Navigate","Previous Tab","⌃⇧Tab","In Dialogs and Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Navigate","Open Remote Task","⌥⇧⌘F12","In Windows"
"Edit","Shift Left","⌘[","In Windows"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Edit","Word Completion","⌃.","Editing Text"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Previous","⇧⌘.","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"File","New","⌘N","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Navigate","Forward History","⌘]","In Windows"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Window","EditBox Select box","⌥Z","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks View"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Text Editing","Text Start","⌘↖","Editing Text"
"Text Editing","Line Start","⌘←","Editing Text"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Window","Next Editor","⌘F6","In Windows"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Navigate","Next","⌘.","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Navigate","Next Tab","⌃Tab","In Dialogs and Windows"
"File","Properties","⌥↩","In Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks Editor"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Edit","Add Maven Dependency","⌃⇧D","Editing XML Source"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Navigate","Forward History","⌥⌘→","In Windows"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Navigate","Open Maven POM","⌥⇧P","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Run/Debug","Run","⌘R","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"File","Properties","⌘I","In Windows"
"File","Save","⌘S","In Windows"
"Focused UI","Make Less Interesting","⌥⇧⌘↓","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
